Sesjon;Gruppe;InnstKode;Nummer;gmlord;emneord;Filnavn
1998-99;L;O ;4;SKOLER;SKOLER;oi004-99.xml
1998-99;L;O ;4;PRIVATSKOLER;PRIVATSKOLER;oi004-99.xml
1998-99;L;O ;4;HØYERE UTDANNING;HØYERE UTDANNING;oi004-99.xml
1998-99;L;O ;5;TRYGDER;TRYGDER;oi005-99.xml
1998-99;L;O ;6;STATENS PERSONALPOLITIKK;STATENS PERSONALPOLITIKK;oi006-99.xml
1998-99;L;O ;6;UTENRIKSSAKER;UTENRIKSSAKER;oi006-99.xml
1998-99;L;O ;7;BOLIGSAKER;BOLIGSAKER;oi007-99.xml
1998-99;L;O ;8;FAMILIE;FAMILIE;oi008-99.xml
1998-99;L;O ;8;SVANGERSKAP;SVANGERSKAP;oi008-99.xml
1998-99;L;O ;8;TRYGDER;TRYGDER;oi008-99.xml
1998-99;L;O ;9;VALG;VALG;oi009-99.xml
1998-99;L;O ;9;FYLKER;FYLKER;oi009-99.xml
1998-99;L;O ;9;KOMMUNER;KOMMUNER;oi009-99.xml
1998-99;L;O ;10;RUSMIDLER;RUSMIDLER;oi010-99.xml
1998-99;L;O ;11;SKATTEFRADRAG;SKATTEFRADRAG;oi011-99.xml
1998-99;L;O ;11;SKATTER;SKATTER;oi011-99.xml
1998-99;L;O ;11;STATSBUDSJETTET;STATSBUDSJETTET;oi011-99.xml
1998-99;L;O ;12;ARBEIDSVILKÅR;ARBEIDSVILKÅR;oi012-99.xml
1998-99;L;O ;13;LANDBRUK;LANDBRUK;oi013-99.xml
1998-99;L;O ;14;FYLKER;FYLKER;oi014-99.xml
1998-99;L;O ;14;KOMMUNER;KOMMUNER;oi014-99.xml
1998-99;L;O ;15;LANDBRUK;LANDBRUK;oi015-99.xml
1998-99;L;O ;16;SKATTEFRADRAG;SKATTEFRADRAG;oi016-99.xml
1998-99;L;O ;16;SKATTER;SKATTER;oi016-99.xml
1998-99;L;O ;16;STATSBUDSJETTET;STATSBUDSJETTET;oi016-99.xml
1998-99;L;O ;17;PRIVATSKOLER;PRIVATSKOLER;oi017-99.xml
1998-99;L;O ;18;RETTSVESEN;RETTSVESEN;oi018-99.xml
1998-99;L;O ;19;LOTTERI OG SPILL;LOTTERI OG SPILL;oi019-99.xml
1998-99;L;O ;20;LANDBRUK;LANDBRUK;oi020-99.xml
1998-99;L;O ;21;TRYGDER;TRYGDER;oi021-99.xml
1998-99;L;O ;22;LANDBRUKSPRODUKTER;LANDBRUKSPRODUKTER;oi022-99.xml
1998-99;L;O ;22;EFTA/EU;EU/EØS;oi022-99.xml
1998-99;L;O ;23;SIVILE VERNEPLIKTIGE;SAMFUNNSSIKKERHET;oi023-99.xml
1998-99;L;O ;25;HANDEL;HANDEL;oi025-99.xml
1998-99;L;O ;26;PRISER OG KONKURRANSEFORHOLD;PRISER OG KONKURRANSEFORHOLD;oi026-99.xml
1998-99;L;O ;27;STATSFORVALTNING;STATSFORVALTNING;oi027-99.xml
1998-99;L;O ;28;RETTSVESEN;RETTSVESEN;oi028-99.xml
1998-99;L;O ;28;MASSEMEDIER;MASSEMEDIER;oi028-99.xml
1998-99;L;O ;29;SKATTER;SKATTER;oi029-99.xml
1998-99;L;O ;29;TRYGDER;TRYGDER;oi029-99.xml
1998-99;L;O ;30;PERSONVERN;PERSONVERN;oi030-99.xml
